DATE,ESPECTADORES
01JAN1984,13837100
01FEB1984,8937600
01MAR1984,9269900
01APR1984,10497400
01MAY1984,8337900
01JUN1984,6429600
01JUL1984,9375500
01AUG1984,9191700
01SEP1984,12353300
01OCT1984,9777900
01NOV1984,9134100
01DEC1984,11450700
01JAN1985,9435899
01FEB1985,7966280
01MAR1985,10681175
01APR1985,8806186
01MAY1985,6468370
01JUN1985,6724201
01JUL1985,7468720
01AUG1985,11850333
01SEP1985,9334953
01OCT1985,9170822
01NOV1985,6759958
01DEC1985,6450523
01JAN1986,10439811
01FEB1986,7026791
01MAR1986,11771424
01APR1986,6017676
01MAY1986,4757449
01JUN1986,4003151
01JUL1986,6131354
01AUG1986,10162990
01SEP1986,7349493
01OCT1986,8028672
01NOV1986,5534705
01DEC1986,6113325
01JAN1987,11298626
01FEB1987,7678109
01MAR1987,6948456
01APR1987,7715491
01MAY1987,5057673
01JUN1987,4756542
01JUL1987,7100544
01AUG1987,9234738
01SEP1987,6327204
01OCT1987,8991172
01NOV1987,5077428
01DEC1987,5534582
01JAN1988,11521428
01FEB1988,5970190
01MAR1988,7808768
01APR1988,7230095
01MAY1988,4218875
01JUN1988,4486385
01JUL1988,4231782
01AUG1988,5210469
01SEP1988,5321766
01OCT1988,4555609
01NOV1988,4146407
01DEC1988,4932106
01JAN1989,9913116
01FEB1989,5345289
01MAR1989,9602365
01APR1989,5869840
01MAY1989,4279168
01JUN1989,4775934
01JUL1989,6145364
01AUG1989,10242058
01SEP1989,8503891
01OCT1989,4272022
01NOV1989,6394995
01DEC1989,2712844
01JAN1990,10108380
01FEB1990,7273620
01MAR1990,7628260
01APR1990,6679694
01MAY1990,3924304
01JUN1990,3387166
01JUL1990,6099520
01AUG1990,7572069
01SEP1990,6921302
01OCT1990,9021678
01NOV1990,5789416
01DEC1990,4105398
01JAN1991,9771094
01FEB1991,6014135
01MAR1991,8928203
01APR1991,6941052
01MAY1991,3838498
01JUN1991,4498658
01JUL1991,6917554
01AUG1991,7045552
01SEP1991,7803470
01OCT1991,7404920
01NOV1991,5029454
01DEC1991,4902686
01JAN1992,9277777
01FEB1992,6994167
01MAR1992,8203454
01APR1992,6261191
01MAY1992,4655394
01JUN1992,4876377
01JUL1992,5761881
01AUG1992,9915741
01SEP1992,6273083
01OCT1992,8019762
01NOV1992,5981632
01DEC1992,7081181
01JAN1993,13345376
01FEB1993,6211981
01MAR1993,8103349
01APR1993,7161457
01MAY1993,4604493
01JUN1993,5701641
01JUL1993,5859560
01AUG1993,6883263
01SEP1993,7238615
01OCT1993,9463285
01NOV1993,7716502
01DEC1993,5414492
01JAN1994,8886329
01FEB1994,7115231
01MAR1994,8282449
01APR1994,7319900
01MAY1994,5235447
01JUN1994,4030757
01JUL1994,6962523
01AUG1994,7960453
01SEP1994,7880669
01OCT1994,8428762
01NOV1994,7659724
01DEC1994,9337134
01JAN1995,9840000
01FEB1995,7318000
01MAR1995,7284000
01APR1995,8483000
01MAY1995,5031000
01JUN1995,4361000
01JUL1995,7522000
01AUG1995,8405000
01SEP1995,9160000
01OCT1995,9222000
01NOV1995,8674000
01DEC1995,10660000
01JAN1996,10425000
01FEB1996,9365000
01MAR1996,10308000
01APR1996,8638000
01MAY1996,6582000
01JUN1996,4967000
01JUL1996,7718000
01AUG1996,8769000
01SEP1996,10527000
01OCT1996,8486000
01NOV1996,8033000
01DEC1996,10566000
01JAN1997,9089000
01FEB1997,7927000
01MAR1997,10113000
01APR1997,8410000
01MAY1997,6571000
01JUN1997,5885000
01JUL1997,8534000
01AUG1997,10135000
01SEP1997,8182000
01OCT1997,9052000
01NOV1997,10418000
01DEC1997,11794000
01JAN1998,13263000
01FEB1998,10313000
01MAR1998,11445000
01APR1998,10960000
01MAY1998,7460000
01JUN1998,4608000
01JUL1998,6893000
01AUG1998,10118000
01SEP1998,9051000
01OCT1998,9436000
01NOV1998,10307000
01DEC1998,11327000
01JAN1999,12603013
01FEB1999,8384613
01MAR1999,12627362
01APR1999,9296622
01MAY1999,7936936
01JUN1999,6698641
01JUL1999,10987359
01AUG1999,13223954
01SEP1999,12139242
01OCT1999,13246477
01NOV1999,9757839
01DEC1999,14446017
01JAN2000,14518000
01FEB2000,13293000
01MAR2000,10718000
01APR2000,11575000
01MAY2000,7967000
01JUN2000,7348000
01JUL2000,11335000
01AUG2000,12399000
01SEP2000,11453000
01OCT2000,12238000
01NOV2000,10797000
01DEC2000,14016000
