DATE,ESPECTADORES,t,t2,sin1,cos1,sin2,cos2,sin3,cos3,sin4,cos4,sin5,cos5,sin6,cos6
01JAN1982,13837100,1,1,0.5,0.8660254038,0.8660254038,0.5,1,6.123234E-17,0.8660254038,-0.5,0.5,-0.866025404,1.224647E-16,-1
01FEB1982,8937600,2,4,0.8660254038,0.5,0.8660254038,-0.5,1.224647E-16,-1,-0.866025404,-0.5,-0.866025404,0.5,-2.44929E-16,1
01MAR1982,9269900,3,9,1,6.123234E-17,1.224647E-16,-1,-1,-1.83697E-16,-2.44929E-16,1,1,3.061617E-16,3.67394E-16,-1
01APR1982,10497400,4,16,0.8660254038,-0.5,-0.866025404,-0.5,-2.44929E-16,1,0.8660254038,-0.5,-0.866025404,-0.5,-4.89859E-16,1
01MAY1982,8337900,5,25,0.5,-0.866025404,-0.866025404,0.5,1,3.061617E-16,-0.866025404,-0.5,0.5,0.8660254038,6.123234E-16,-1
01JUN1982,6429600,6,36,1.224647E-16,-1,-2.44929E-16,1,3.67394E-16,-1,-4.89859E-16,1,6.123234E-16,-1,-7.34788E-16,1
01JUL1982,9375500,7,49,-0.5,-0.866025404,0.8660254038,0.5,-1,-4.28626E-16,0.8660254038,-0.5,-0.5,0.8660254038,8.572528E-16,-1
01AUG1982,9191700,8,64,-0.866025404,-0.5,0.8660254038,-0.5,-4.89859E-16,1,-0.866025404,-0.5,0.8660254038,-0.5,-9.79717E-16,1
01SEP1982,12353300,9,81,-1,-1.83697E-16,3.67394E-16,-1,1,5.510911E-16,-7.34788E-16,1,-1,8.578717E-16,1.102182E-15,-1
01OCT1982,9777900,10,100,-0.866025404,0.5,-0.866025404,-0.5,6.123234E-16,-1,0.8660254038,-0.5,0.8660254038,0.5,-1.22465E-15,1
01NOV1982,9134100,11,121,-0.5,0.8660254038,-0.866025404,0.5,-1,-2.44991E-15,-0.866025404,-0.5,-0.5,-0.866025404,4.899825E-15,-1
01DEC1982,11450700,12,144,-2.44929E-16,1,-4.89859E-16,1,-7.34788E-16,1,-9.79717E-16,1,-1.22465E-15,1,-1.46958E-15,1
01JAN1983,9435899,13,169,0.5,0.8660254038,0.8660254038,0.5,1,-9.80336E-16,0.8660254038,-0.5,0.5,-0.866025404,-1.96067E-15,-1
01FEB1983,7966280,14,196,0.8660254038,0.5,0.8660254038,-0.5,8.572528E-16,-1,-0.866025404,-0.5,-0.866025404,0.5,-1.71451E-15,1
01MAR1983,10681175,15,225,1,1.19434E-15,2.38868E-15,-1,-1,-2.69484E-15,-4.77736E-15,1,1,-2.45548E-16,5.389684E-15,-1
01APR1983,8806186,16,256,0.8660254038,-0.5,-0.866025404,-0.5,-9.79717E-16,1,0.8660254038,-0.5,-0.866025404,-0.5,-1.95943E-15,1
01MAY1983,6468370,17,289,0.5,-0.866025404,-0.866025404,0.5,1,-7.35407E-16,-0.866025404,-0.5,0.5,0.8660254038,-1.47081E-15,-1
01JUN1983,6724201,18,324,3.67394E-16,-1,-7.34788E-16,1,1.102182E-15,-1,-1.46958E-15,1,-1.71574E-15,-1,-2.20436E-15,1
01JUL1983,7468720,19,361,-0.5,-0.866025404,0.8660254038,0.5,-1,-2.93977E-15,0.8660254038,-0.5,-0.5,0.8660254038,5.879543E-15,-1
01AUG1983,11850333,20,400,-0.866025404,-0.5,0.8660254038,-0.5,-1.22465E-15,1,-0.866025404,-0.5,0.8660254038,-0.5,-2.44929E-15,1
01SEP1983,9334953,21,441,-1,-4.28626E-16,8.572528E-16,-1,1,-4.90478E-16,-1.71451E-15,1,-1,3.185939E-15,-9.80955E-16,-1
01OCT1983,9170822,22,484,-0.866025404,0.5,-0.866025404,-0.5,4.899825E-15,-1,0.8660254038,-0.5,0.8660254038,0.5,-9.79965E-15,1
01NOV1983,6759958,23,529,-0.5,0.8660254038,-0.866025404,0.5,-1,-3.1847E-15,-0.866025404,-0.5,-0.5,-0.866025404,6.369401E-15,-1
01DEC1983,6450523,24,576,-4.89859E-16,1,-9.79717E-16,1,-1.46958E-15,1,-1.95943E-15,1,-2.44929E-15,1,-2.93915E-15,1
