PARM,VALUE,STDERR,T,P
Intercept,7105638,325747,21.8134,<.0001
Linear Trend,-28561,3369,-8.4768,<.0001
Quadratic Trend,418.68249,29.1143,14.3807,<.0001
Seasonal Dummy 1,2908961,442714,6.5707,<.0001
Seasonal Dummy 2,-303706,442658,-0.6861,0.4935
Seasonal Dummy 3,1249148,442608,2.8222,0.0053
Seasonal Dummy 4,-48819,442563,-0.1103,0.9123
Seasonal Dummy 5,-2469772,442523,-5.5811,<.0001
Seasonal Dummy 6,-3035702,442489,-6.8605,<.0001
Seasonal Dummy 7,-844053,442459,-1.9076,0.0579
Seasonal Dummy 8,1097938,442435,2.4816,0.0139
Seasonal Dummy 9,346445,442416,0.7831,0.4346
Seasonal Dummy 10,505551,442403,1.1427,0.2546
Seasonal Dummy 11,-783181,442394,-1.7703,0.0783
Model Variance (sigma squared),1.66354E12,,,
