DATE,ACTUAL,PREDICT,UPPER,LOWER,ERROR,STD,NERROR,SDUMMY1,SDUMMY2,SDUMMY3,SDUMMY4,SDUMMY5,SDUMMY6,SDUMMY7,SDUMMY8,SDUMMY9,SDUMMY10,SDUMMY11,_LINEAR_,_QUAD_
01JAN1982,13837100,12489343,15017270,9961417,1347757,1289782,1.0449,1,0,0,0,0,0,0,0,0,0,0,-50,2500
01FEB1982,8937600,9206666,11734592,6678739,-269066,1289782,-0.2086,0,1,0,0,0,0,0,0,0,0,0,-49,2401
01MAR1982,9269900,10690347,13218273,8162420,-1420447,1289782,-1.1013,0,0,1,0,0,0,0,0,0,0,0,-48,2304
01APR1982,10497400,9324044,11851971,6796118,1173356,1289782,0.9097,0,0,0,1,0,0,0,0,0,0,0,-47,2209
01MAY1982,8337900,6835593,9363519,4307666,1502307,1289782,1.1648,0,0,0,0,1,0,0,0,0,0,0,-46,2116
01JUN1982,6429600,6203003,8730929,3675076,226597,1289782,0.1757,0,0,0,0,0,1,0,0,0,0,0,-45,2025
01JUL1982,9375500,8328828,10856754,5800901,1046672,1289782,0.8115,0,0,0,0,0,0,1,0,0,0,0,-44,1936
01AUG1982,9191700,10205832,12733759,7677906,-1014132,1289782,-0.7863,0,0,0,0,0,0,0,1,0,0,0,-43,1849
01SEP1982,12353300,9390191,11918117,6862264,2963109,1289782,2.2974,0,0,0,0,0,0,0,0,1,0,0,-42,1764
01OCT1982,9777900,9485985,12013912,6958059,291915,1289782,0.2263,0,0,0,0,0,0,0,0,0,1,0,-41,1681
01NOV1982,9134100,8134780,10662706,5606853,999320,1289782,0.7748,0,0,0,0,0,0,0,0,0,0,1,-40,1600
01DEC1982,11450700,8856324,11384250,6328397,2594376,1289782,2.0115,0,0,0,0,0,0,0,0,0,0,0,-39,1521
01JAN1983,9435899,11704486,14232412,9176559,-2268587,1289782,-1.7589,1,0,0,0,0,0,0,0,0,0,0,-38,1444
01FEB1983,7966280,8431856,10959783,5903929,-465576,1289782,-0.3610,0,1,0,0,0,0,0,0,0,0,0,-37,1369
01MAR1983,10681175,9925586,12453512,7397659,755589,1289782,0.5858,0,0,1,0,0,0,0,0,0,0,0,-36,1296
01APR1983,8806186,8569332,11097258,6041405,236854,1289782,0.1836,0,0,0,1,0,0,0,0,0,0,0,-35,1225
01MAY1983,6468370,6090928,8618855,3563002,377442,1289782,0.2926,0,0,0,0,1,0,0,0,0,0,0,-34,1156
01JUN1983,6724201,5468387,7996313,2940460,1255814,1289782,0.9737,0,0,0,0,0,1,0,0,0,0,0,-33,1089
01JUL1983,7468720,7604260,10132187,5076333,-135540,1289782,-0.1051,0,0,0,0,0,0,1,0,0,0,0,-32,1024
01AUG1983,11850333,9491313,12019240,6963386,2359020,1289782,1.8290,0,0,0,0,0,0,0,1,0,0,0,-31,961
01SEP1983,9334953,8685720,11213646,6157793,649233,1289782,0.5034,0,0,0,0,0,0,0,0,1,0,0,-30,900
01OCT1983,9170822,8791563,11319490,6263636,379259,1289782,0.2940,0,0,0,0,0,0,0,0,0,1,0,-29,841
01NOV1983,6759958,7450405,9978332,4922479,-690447,1289782,-0.5353,0,0,0,0,0,0,0,0,0,0,1,-28,784
01DEC1983,6450523,8181998,10709925,5654071,-1731475,1289782,-1.3425,0,0,0,0,0,0,0,0,0,0,0,-27,729
01JAN1984,10439811,11040208,13568135,8512282,-600397,1289782,-0.4655,1,0,0,0,0,0,0,0,0,0,0,-26,676
01FEB1984,7026791,7777627,10305554,5249700,-750836,1289782,-0.5821,0,1,0,0,0,0,0,0,0,0,0,-25,625
01MAR1984,11771424,9281405,11809332,6753478,2490019,1289782,1.9306,0,0,1,0,0,0,0,0,0,0,0,-24,576
01APR1984,6017676,7935199,10463126,5407273,-1917523,1289782,-1.4867,0,0,0,1,0,0,0,0,0,0,0,-23,529
01MAY1984,4757449,5466845,7994771,2938918,-709396,1289782,-0.5500,0,0,0,0,1,0,0,0,0,0,0,-22,484
01JUN1984,4003151,4854351,7382278,2326424,-851200,1289782,-0.6600,0,0,0,0,0,1,0,0,0,0,0,-21,441
01JUL1984,6131354,7000273,9528200,4472346,-868919,1289782,-0.6737,0,0,0,0,0,0,1,0,0,0,0,-20,400
01AUG1984,10162990,8897375,11425301,6369448,1265615,1289782,0.9813,0,0,0,0,0,0,0,1,0,0,0,-19,361
01SEP1984,7349493,8101829,10629756,5573903,-752336,1289782,-0.5833,0,0,0,0,0,0,0,0,1,0,0,-18,324
01OCT1984,8028672,8217721,10745648,5689794,-189049,1289782,-0.1466,0,0,0,0,0,0,0,0,0,1,0,-17,289
01NOV1984,5534705,6886612,9414539,4358685,-1351907,1289782,-1.0482,0,0,0,0,0,0,0,0,0,0,1,-16,256
01DEC1984,6113325,7628253,10156179,5100326,-1514928,1289782,-1.1746,0,0,0,0,0,0,0,0,0,0,0,-15,225
01JAN1985,11298626,10496511,13024438,7968585,802115,1289782,0.6219,1,0,0,0,0,0,0,0,0,0,0,-14,196
01FEB1985,7678109,7243979,9771906,4716052,434130,1289782,0.3366,0,1,0,0,0,0,0,0,0,0,0,-13,169
01MAR1985,6948456,8757805,11285732,6229878,-1809349,1289782,-1.4028,0,0,1,0,0,0,0,0,0,0,0,-12,144
01APR1985,7715491,7421648,9949575,4893721,293843,1289782,0.2278,0,0,0,1,0,0,0,0,0,0,0,-11,121
01MAY1985,5057673,4963341,7491268,2435415,94332,1289782,0.0731,0,0,0,0,1,0,0,0,0,0,0,-10,100
01JUN1985,4756542,4360896,6888823,1832970,395646,1289782,0.3068,0,0,0,0,0,1,0,0,0,0,0,-9,81
01JUL1985,7100544,6516867,9044793,3988940,583677,1289782,0.4525,0,0,0,0,0,0,1,0,0,0,0,-8,64
01AUG1985,9234738,8424016,10951943,5896090,810722,1289782,0.6286,0,0,0,0,0,0,0,1,0,0,0,-7,49
01SEP1985,6327204,7638520,10166446,5110593,-1311316,1289782,-1.0167,0,0,0,0,0,0,0,0,1,0,0,-6,36
01OCT1985,8991172,7764460,10292387,5236533,1226712,1289782,0.9511,0,0,0,0,0,0,0,0,0,1,0,-5,25
01NOV1985,5077428,6443399,8971326,3915472,-1365971,1289782,-1.0591,0,0,0,0,0,0,0,0,0,0,1,-4,16
01DEC1985,5534582,7195088,9723015,4667161,-1660506,1289782,-1.2874,0,0,0,0,0,0,0,0,0,0,0,-3,9
01JAN1986,11521428,10073395,12601322,7545469,1448033,1289782,1.1227,1,0,0,0,0,0,0,0,0,0,0,-2,4
01FEB1986,5970190,6830911,9358838,4302984,-860721,1289782,-0.6673,0,1,0,0,0,0,0,0,0,0,0,-1,1
01MAR1986,7808768,8354786,10882712,5826859,-546018,1289782,-0.4233,0,0,1,0,0,0,0,0,0,0,0,0,0
01APR1986,7230095,7028677,9556604,4500750,201418,1289782,0.1562,0,0,0,1,0,0,0,0,0,0,0,1,1
01MAY1986,4218875,4580419,7108345,2052492,-361544,1289782,-0.2803,0,0,0,0,1,0,0,0,0,0,0,2,4
01JUN1986,4486385,3988022,6515949,1460095,498363,1289782,0.3864,0,0,0,0,0,1,0,0,0,0,0,3,9
01JUL1986,4231782,6154041,8681968,3626114,-1922259,1289782,-1.4904,0,0,0,0,0,0,1,0,0,0,0,4,16
01AUG1986,5210469,8071239,10599166,5543312,-2860770,1289782,-2.2180,0,0,0,0,0,0,0,1,0,0,0,5,25
01SEP1986,5321766,7295791,9823717,4767864,-1974025,1289782,-1.5305,0,0,0,0,0,0,0,0,1,0,0,6,36
01OCT1986,4555609,7431779,9959706,4903852,-2876170,1289782,-2.2300,0,0,0,0,0,0,0,0,0,1,0,7,49
01NOV1986,4146407,6120767,8648693,3592840,-1974360,1289782,-1.5308,0,0,0,0,0,0,0,0,0,0,1,8,64
01DEC1986,4932106,6882504,9410431,4354577,-1950398,1289782,-1.5122,0,0,0,0,0,0,0,0,0,0,0,9,81
01JAN1987,9913116,9770860,12298786,7242933,142256,1289782,0.1103,1,0,0,0,0,0,0,0,0,0,0,10,100
01FEB1987,5345289,6538424,9066351,4010497,-1193135,1289782,-0.9251,0,1,0,0,0,0,0,0,0,0,0,11,121
01MAR1987,9602365,8072347,10600274,5544420,1530018,1289782,1.1863,0,0,1,0,0,0,0,0,0,0,0,12,144
01APR1987,5869840,6756286,9284213,4228360,-886446,1289782,-0.6873,0,0,0,1,0,0,0,0,0,0,0,13,169
01MAY1987,4279168,4318077,6846003,1790150,-38909,1289782,-0.0302,0,0,0,0,1,0,0,0,0,0,0,14,196
01JUN1987,4775934,3735728,6263655,1207802,1040206,1289782,0.8065,0,0,0,0,0,1,0,0,0,0,0,15,225
01JUL1987,6145364,5911795,8439722,3383869,233569,1289782,0.1811,0,0,0,0,0,0,1,0,0,0,0,16,256
01AUG1987,10242058,7839042,10366969,5311115,2403016,1289782,1.8631,0,0,0,0,0,0,0,1,0,0,0,17,289
01SEP1987,8503891,7073642,9601569,4545715,1430249,1289782,1.1089,0,0,0,0,0,0,0,0,1,0,0,18,324
01OCT1987,4272022,7219679,9747606,4691752,-2947657,1289782,-2.2854,0,0,0,0,0,0,0,0,0,1,0,19,361
01NOV1987,6394995,5918715,8446642,3390788,476280,1289782,0.3693,0,0,0,0,0,0,0,0,0,0,1,20,400
01DEC1987,2712844,6690501,9218427,4162574,-3977657,1289782,-3.0840,0,0,0,0,0,0,0,0,0,0,0,21,441
01JAN1988,10108380,9588905,12116831,7060978,519475,1289782,0.4028,1,0,0,0,0,0,0,0,0,0,0,22,484
01FEB1988,7273620,6366517,8894444,3838590,907103,1289782,0.7033,0,1,0,0,0,0,0,0,0,0,0,23,529
01MAR1988,7628260,7910489,10438415,5382562,-282229,1289782,-0.2188,0,0,1,0,0,0,0,0,0,0,0,24,576
01APR1988,6679694,6604476,9132403,4076550,75218,1289782,0.0583,0,0,0,1,0,0,0,0,0,0,0,25,625
01MAY1988,3924304,4176315,6704242,1648388,-252011,1289782,-0.1954,0,0,0,0,1,0,0,0,0,0,0,26,676
01JUN1988,3387166,3604015,6131942,1076088,-216849,1289782,-0.1681,0,0,0,0,0,1,0,0,0,0,0,27,729
01JUL1988,6099520,5790131,8318057,3262204,309389,1289782,0.2399,0,0,0,0,0,0,1,0,0,0,0,28,784
01AUG1988,7572069,7727426,10255352,5199499,-155357,1289782,-0.1205,0,0,0,0,0,0,0,1,0,0,0,29,841
