DATE,ESPECTADORES,t,sin1,cos1,sin2,cos2,sin3,cos3,sin4,cos4,sin5,cos5,cos6
01JAN1984,13837100,1,0.5,0.8660254038,0.8660254038,0.5,1,6.123234E-17,0.8660254038,-0.5,0.5,-0.866025404,-1
01FEB1984,8937600,2,0.8660254038,0.5,0.8660254038,-0.5,1.224647E-16,-1,-0.866025404,-0.5,-0.866025404,0.5,1
01MAR1984,9269900,3,1,6.123234E-17,1.224647E-16,-1,-1,-1.83697E-16,-2.44929E-16,1,1,3.061617E-16,-1
01APR1984,10497400,4,0.8660254038,-0.5,-0.866025404,-0.5,-2.44929E-16,1,0.8660254038,-0.5,-0.866025404,-0.5,1
01MAY1984,8337900,5,0.5,-0.866025404,-0.866025404,0.5,1,3.061617E-16,-0.866025404,-0.5,0.5,0.8660254038,-1
01JUN1984,6429600,6,1.224647E-16,-1,-2.44929E-16,1,3.67394E-16,-1,-4.89859E-16,1,6.123234E-16,-1,1
01JUL1984,9375500,7,-0.5,-0.866025404,0.8660254038,0.5,-1,-4.28626E-16,0.8660254038,-0.5,-0.5,0.8660254038,-1
01AUG1984,9191700,8,-0.866025404,-0.5,0.8660254038,-0.5,-4.89859E-16,1,-0.866025404,-0.5,0.8660254038,-0.5,1
01SEP1984,12353300,9,-1,-1.83697E-16,3.67394E-16,-1,1,5.510911E-16,-7.34788E-16,1,-1,8.578717E-16,-1
01OCT1984,9777900,10,-0.866025404,0.5,-0.866025404,-0.5,6.123234E-16,-1,0.8660254038,-0.5,0.8660254038,0.5,1
01NOV1984,9134100,11,-0.5,0.8660254038,-0.866025404,0.5,-1,-2.44991E-15,-0.866025404,-0.5,-0.5,-0.866025404,-1
01DEC1984,11450700,12,-2.44929E-16,1,-4.89859E-16,1,-7.34788E-16,1,-9.79717E-16,1,-1.22465E-15,1,1
01JAN1985,9435899,13,0.5,0.8660254038,0.8660254038,0.5,1,-9.80336E-16,0.8660254038,-0.5,0.5,-0.866025404,-1
01FEB1985,7966280,14,0.8660254038,0.5,0.8660254038,-0.5,8.572528E-16,-1,-0.866025404,-0.5,-0.866025404,0.5,1
01MAR1985,10681175,15,1,1.19434E-15,2.38868E-15,-1,-1,-2.69484E-15,-4.77736E-15,1,1,-2.45548E-16,-1
01APR1985,8806186,16,0.8660254038,-0.5,-0.866025404,-0.5,-9.79717E-16,1,0.8660254038,-0.5,-0.866025404,-0.5,1
01MAY1985,6468370,17,0.5,-0.866025404,-0.866025404,0.5,1,-7.35407E-16,-0.866025404,-0.5,0.5,0.8660254038,-1
01JUN1985,6724201,18,3.67394E-16,-1,-7.34788E-16,1,1.102182E-15,-1,-1.46958E-15,1,-1.71574E-15,-1,1
01JUL1985,7468720,19,-0.5,-0.866025404,0.8660254038,0.5,-1,-2.93977E-15,0.8660254038,-0.5,-0.5,0.8660254038,-1
01AUG1985,11850333,20,-0.866025404,-0.5,0.8660254038,-0.5,-1.22465E-15,1,-0.866025404,-0.5,0.8660254038,-0.5,1
01SEP1985,9334953,21,-1,-4.28626E-16,8.572528E-16,-1,1,-4.90478E-16,-1.71451E-15,1,-1,3.185939E-15,-1
01OCT1985,9170822,22,-0.866025404,0.5,-0.866025404,-0.5,4.899825E-15,-1,0.8660254038,-0.5,0.8660254038,0.5,1
01NOV1985,6759958,23,-0.5,0.8660254038,-0.866025404,0.5,-1,-3.1847E-15,-0.866025404,-0.5,-0.5,-0.866025404,-1
01DEC1985,6450523,24,-4.89859E-16,1,-9.79717E-16,1,-1.46958E-15,1,-1.95943E-15,1,-2.44929E-15,1,1
01JAN1986,10439811,25,0.5,0.8660254038,0.8660254038,0.5,1,-2.45548E-16,0.8660254038,-0.5,0.5,-0.866025404,-1
01FEB1986,7026791,26,0.8660254038,0.5,0.8660254038,-0.5,-1.96067E-15,-1,-0.866025404,-0.5,-0.866025404,0.5,1
01MAR1986,11771424,27,1,2.327448E-15,4.654896E-15,-1,-1,-3.42963E-15,-9.30979E-15,1,1,9.790985E-16,-1
01APR1986,6017676,28,0.8660254038,-0.5,-0.866025404,-0.5,-1.71451E-15,1,0.8660254038,-0.5,-0.866025404,-0.5,1
01MAY1986,4757449,29,0.5,-0.866025404,-0.866025404,0.5,1,-6.18981E-19,-0.866025404,-0.5,0.5,0.8660254038,-1
01JUN1986,4003151,30,2.38868E-15,-1,-4.77736E-15,1,5.389684E-15,-1,-9.55472E-15,1,-4.91097E-16,-1,1
01JUL1986,6131354,31,-0.5,-0.866025404,0.8660254038,0.5,-1,-3.67456E-15,0.8660254038,-0.5,-0.5,0.8660254038,-1
01AUG1986,10162990,32,-0.866025404,-0.5,0.8660254038,-0.5,-1.95943E-15,1,-0.866025404,-0.5,0.8660254038,-0.5,1
01SEP1986,7349493,33,-1,-2.44991E-15,4.899825E-15,-1,1,2.443104E-16,-9.79965E-15,1,-1,1.961292E-15,-1
01OCT1986,8028672,34,-0.866025404,0.5,-0.866025404,-0.5,-1.47081E-15,-1,0.8660254038,-0.5,0.8660254038,0.5,1
01NOV1986,5534705,35,-0.5,0.8660254038,-0.866025404,0.5,-1,-3.91949E-15,-0.866025404,-0.5,-0.5,-0.866025404,-1
01DEC1986,6113325,36,-7.34788E-16,1,-1.46958E-15,1,-2.20436E-15,1,-2.93915E-15,1,3.431487E-15,1,1
01JAN1987,11298626,37,0.5,0.8660254038,0.8660254038,0.5,1,4.892397E-16,0.8660254038,-0.5,0.5,-0.866025404,-1
01FEB1987,7678109,38,0.8660254038,0.5,0.8660254038,-0.5,5.879543E-15,-1,-0.866025404,-0.5,-0.866025404,0.5,1
01MAR1987,6948456,39,1,2.572377E-15,5.144755E-15,-1,-1,-4.16442E-15,-1.02895E-14,1,1,-4.90168E-15,-1
01APR1987,7715491,40,0.8660254038,-0.5,-0.866025404,-0.5,-2.44929E-15,1,0.8660254038,-0.5,-0.866025404,-0.5,1
01MAY1987,5057673,41,0.5,-0.866025404,-0.866025404,0.5,1,7.839596E-15,-0.866025404,-0.5,0.5,0.8660254038,-1
01JUN1987,4756542,42,8.572528E-16,-1,-1.71451E-15,1,-9.80955E-16,-1,-3.42901E-15,1,-6.37188E-15,-1,1
01JUL1987,7100544,43,-0.5,-0.866025404,0.8660254038,0.5,-1,-4.40935E-15,0.8660254038,-0.5,-0.5,0.8660254038,-1
01AUG1987,9234738,44,-0.866025404,-0.5,0.8660254038,-0.5,-9.79965E-15,1,-0.866025404,-0.5,0.8660254038,-0.5,1
01SEP1987,6327204,45,-1,-2.69484E-15,5.389684E-15,-1,1,9.790985E-16,-1.07794E-14,1,-1,7.842072E-15,-1
01OCT1987,8991172,46,-0.866025404,0.5,-0.866025404,-0.5,6.369401E-15,-1,0.8660254038,-0.5,0.8660254038,0.5,1
01NOV1987,5077428,47,-0.5,0.8660254038,-0.866025404,0.5,-1,2.451151E-15,-0.866025404,-0.5,-0.5,-0.866025404,-1
01DEC1987,5534582,48,-9.79717E-16,1,-1.95943E-15,1,-2.93915E-15,1,-3.91887E-15,1,-4.89859E-15,1,1
01JAN1988,11521428,49,0.5,0.8660254038,0.8660254038,0.5,1,8.329455E-15,0.8660254038,-0.5,0.5,-0.866025404,-1
01FEB1988,5970190,50,0.8660254038,0.5,0.8660254038,-0.5,-4.91097E-16,-1,-0.866025404,-0.5,-0.866025404,0.5,1
01MAR1988,7808768,51,1,2.817307E-15,5.634613E-15,-1,-1,-4.89921E-15,-1.12692E-14,1,1,3.428392E-15,-1
01APR1988,7230095,52,0.8660254038,-0.5,-0.866025404,-0.5,3.921346E-15,1,0.8660254038,-0.5,-0.866025404,-0.5,1
01MAY1988,4218875,53,0.5,-0.866025404,-0.866025404,0.5,1,1.468957E-15,-0.866025404,-0.5,0.5,0.8660254038,-1
01JUN1988,4486385,54,4.654896E-15,-1,-9.30979E-15,1,6.85926E-15,-1,-1.86196E-14,1,1.958197E-15,-1,1
01JUL1988,4231782,55,-0.5,-0.866025404,0.8660254038,0.5,-1,1.961292E-15,0.8660254038,-0.5,-0.5,0.8660254038,-1
01AUG1988,5210469,56,-0.866025404,-0.5,0.8660254038,-0.5,-3.42901E-15,1,-0.866025404,-0.5,0.8660254038,-0.5,1
