DATE,ACTUAL,PREDICT,UPPER,LOWER,ERROR,STD,NERROR,_LINEAR_,_QUAD_,sin1,cos1,sin2,cos2,sin3,cos3,sin4,cos4,sin5,cos5,cos6
01JAN1984,13837100,12489343,15017270,9961417,1347757,1289782,1.0449,-50,2500,0.5000,0.8660,0.8660,0.5000,1.0000,6.123E-17,0.8660,-0.5000,0.5000,-0.8660,-1.0000
01FEB1984,8937600,9206666,11734592,6678739,-269066,1289782,-0.2086,-49,2401,0.8660,0.5000,0.8660,-0.5000,1.225E-16,-1.0000,-0.8660,-0.5000,-0.8660,0.5000,1.0000
01MAR1984,9269900,10690347,13218273,8162420,-1420447,1289782,-1.1013,-48,2304,1.0000,6.123E-17,1.225E-16,-1.0000,-1.0000,-1.84E-16,-2.45E-16,1.0000,1.0000,3.062E-16,-1.0000
01APR1984,10497400,9324044,11851971,6796118,1173356,1289782,0.9097,-47,2209,0.8660,-0.5000,-0.8660,-0.5000,-2.45E-16,1.0000,0.8660,-0.5000,-0.8660,-0.5000,1.0000
01MAY1984,8337900,6835593,9363519,4307666,1502307,1289782,1.1648,-46,2116,0.5000,-0.8660,-0.8660,0.5000,1.0000,3.062E-16,-0.8660,-0.5000,0.5000,0.8660,-1.0000
01JUN1984,6429600,6203003,8730929,3675076,226597,1289782,0.1757,-45,2025,1.225E-16,-1.0000,-2.45E-16,1.0000,3.674E-16,-1.0000,-4.9E-16,1.0000,6.123E-16,-1.0000,1.0000
01JUL1984,9375500,8328828,10856754,5800901,1046672,1289782,0.8115,-44,1936,-0.5000,-0.8660,0.8660,0.5000,-1.0000,-4.29E-16,0.8660,-0.5000,-0.5000,0.8660,-1.0000
01AUG1984,9191700,10205832,12733759,7677906,-1014132,1289782,-0.7863,-43,1849,-0.8660,-0.5000,0.8660,-0.5000,-4.9E-16,1.0000,-0.8660,-0.5000,0.8660,-0.5000,1.0000
01SEP1984,12353300,9390191,11918117,6862264,2963109,1289782,2.2974,-42,1764,-1.0000,-1.84E-16,3.674E-16,-1.0000,1.0000,5.511E-16,-7.35E-16,1.0000,-1.0000,8.579E-16,-1.0000
01OCT1984,9777900,9485985,12013912,6958059,291915,1289782,0.2263,-41,1681,-0.8660,0.5000,-0.8660,-0.5000,6.123E-16,-1.0000,0.8660,-0.5000,0.8660,0.5000,1.0000
01NOV1984,9134100,8134780,10662706,5606853,999320,1289782,0.7748,-40,1600,-0.5000,0.8660,-0.8660,0.5000,-1.0000,-2.45E-15,-0.8660,-0.5000,-0.5000,-0.8660,-1.0000
01DEC1984,11450700,8856324,11384250,6328397,2594376,1289782,2.0115,-39,1521,-2.45E-16,1.0000,-4.9E-16,1.0000,-7.35E-16,1.0000,-9.8E-16,1.0000,-1.22E-15,1.0000,1.0000
01JAN1985,9435899,11704486,14232412,9176559,-2268587,1289782,-1.7589,-38,1444,0.5000,0.8660,0.8660,0.5000,1.0000,-9.8E-16,0.8660,-0.5000,0.5000,-0.8660,-1.0000
