PARM,VALUE,STDERR,T,P
$\widehat{\beta_0}$,6993418,122454,57.1107,<.0001
$\widehat{\beta_1}$,-28612,3372,-8.4852,<.0001
$\widehat{\beta_2}$,418.70035,29.1450,14.3661,<.0001
$\widehat{\gamma_{1,1}}$,1220533,127852,9.5464,<.0001
$\widehat{\gamma_{2,1}}$,-975083,127851,-7.6267,<.0001
$\widehat{\gamma_{2,2}}$,816195,127870,6.3830,<.0001
$\widehat{\gamma_{3,1}}$,647212,127851,5.0622,<.0001
$\widehat{\gamma_{4,1}}$,-245212,127851,-1.9179,0.0566
$\widehat{\gamma_{4,2}}$,718825,127845,5.6226,<.0001
$\widehat{\gamma_{5,1}}$,-349746,127851,-2.7356,0.0068
$\widehat{\gamma_{5,2}}$,604965,127843,4.7321,<.0001
$\widehat{\gamma_{6,1}}$,-182666,90401,-2.0206,0.0447
$\widehat{\sigma^2}$,1.66705E12,,,
