DATE,ACTUAL,PREDICT,UPPER,LOWER,ERROR,STD,NERROR,_LINEAR_,_QUAD_,cos1,sin2,cos2,cos3,sin4,cos4,sin5,cos5,cos6
01JAN1984,13837100,12280265,14810858,9749672,1556835,1291143,1.2058,-50,2500,0.8660,0.8660,0.5000,6.123E-17,0.8660,-0.5000,0.5000,-0.8660,-1.0000
01FEB1984,8937600,9176795,11707388,6646202,-239195,1291143,-0.1853,-49,2401,0.5000,0.8660,-0.5000,-1.0000,-0.8660,-0.5000,-0.8660,0.5000,1.0000
01MAR1984,9269900,10848998,13379591,8318406,-1579098,1291143,-1.2230,-48,2304,6.123E-17,1.225E-16,-1.0000,-1.84E-16,-2.45E-16,1.0000,1.0000,3.062E-16,-1.0000
01APR1984,10497400,9294167,11824760,6763574,1203233,1291143,0.9319,-47,2209,-0.5000,-0.8660,-0.5000,1.0000,0.8660,-0.5000,-0.8660,-0.5000,1.0000
01MAY1984,8337900,6626501,9157094,4095908,1711399,1291143,1.3255,-46,2116,-0.8660,-0.8660,0.5000,3.062E-16,-0.8660,-0.5000,0.5000,0.8660,-1.0000
01JUN1984,6429600,6207881,8738474,3677288,221719,1291143,0.1717,-45,2025,-1.0000,-2.45E-16,1.0000,-1.0000,-4.9E-16,1.0000,6.123E-16,-1.0000,1.0000
01JUL1984,9375500,8547676,11078269,6017084,827824,1291143,0.6412,-44,1936,-0.8660,0.8660,0.5000,-4.29E-16,0.8660,-0.5000,-0.5000,0.8660,-1.0000
01AUG1984,9191700,10245466,12776059,7714874,-1053766,1291143,-0.8162,-43,1849,-0.5000,0.8660,-0.5000,1.0000,-0.8660,-0.5000,0.8660,-0.5000,1.0000
01SEP1984,12353300,9241295,11771888,6710703,3112005,1291143,2.4103,-42,1764,-1.84E-16,3.674E-16,-1.0000,5.511E-16,-7.35E-16,1.0000,-1.0000,8.579E-16,-1.0000
01OCT1984,9777900,9525613,12056206,6995020,252287,1291143,0.1954,-41,1681,0.5000,-0.8660,-0.5000,-1.0000,0.8660,-0.5000,0.8660,0.5000,1.0000
01NOV1984,9134100,8353614,10884207,5823022,780486,1291143,0.6045,-40,1600,0.8660,-0.8660,0.5000,-2.45E-15,-0.8660,-0.5000,-0.5000,-0.8660,-1.0000
01DEC1984,11450700,8861181,11391774,6330588,2589519,1291143,2.0056,-39,1521,1.0000,-4.9E-16,1.0000,1.0000,-9.8E-16,1.0000,-1.22E-15,1.0000,1.0000
01JAN1985,9435899,11494770,14025362,8964177,-2058871,1291143,-1.5946,-38,1444,0.8660,0.8660,0.5000,-9.8E-16,0.8660,-0.5000,0.5000,-0.8660,-1.0000
01FEB1985,7966280,8401348,10931941,5870755,-435068,1291143,-0.3370,-37,1369,0.5000,0.8660,-0.5000,-1.0000,-0.8660,-0.5000,-0.8660,0.5000,1.0000
