tubersem,date
106,"Friday, January 1, 1982"
132,"Friday, January 8, 1982"
119,"Friday, January 15, 1982"
147,"Friday, January 22, 1982"
160,"Friday, January 29, 1982"
168,"Friday, February 5, 1982"
166,"Friday, February 12, 1982"
160,"Friday, February 19, 1982"
172,"Friday, February 26, 1982"
190,"Friday, March 5, 1982"
167,"Friday, March 12, 1982"
175,"Friday, March 19, 1982"
197,"Friday, March 26, 1982"
108,"Friday, April 2, 1982"
160,"Friday, April 9, 1982"
148,"Friday, April 16, 1982"
202,"Friday, April 23, 1982"
176,"Friday, April 30, 1982"
195,"Friday, May 7, 1982"
155,"Friday, May 14, 1982"
210,"Friday, May 21, 1982"
149,"Friday, May 28, 1982"
192,"Friday, June 4, 1982"
187,"Friday, June 11, 1982"
136,"Friday, June 18, 1982"
148,"Friday, June 25, 1982"
151,"Friday, July 2, 1982"
152,"Friday, July 9, 1982"
125,"Friday, July 16, 1982"
151,"Friday, July 23, 1982"
111,"Friday, July 30, 1982"
124,"Friday, August 6, 1982"
136,"Friday, August 13, 1982"
99,"Friday, August 20, 1982"
143,"Friday, August 27, 1982"
146,"Friday, September 3, 1982"
118,"Friday, September 10, 1982"
129,"Friday, September 17, 1982"
170,"Friday, September 24, 1982"
118,"Friday, October 1, 1982"
152,"Friday, October 8, 1982"
156,"Friday, October 15, 1982"
167,"Friday, October 22, 1982"
165,"Friday, October 29, 1982"
195,"Friday, November 5, 1982"
145,"Friday, November 12, 1982"
160,"Friday, November 19, 1982"
159,"Friday, November 26, 1982"
166,"Friday, December 3, 1982"
161,"Friday, December 10, 1982"
133,"Friday, December 17, 1982"
104,"Friday, December 24, 1982"
113,"Friday, December 31, 1982"
145,"Friday, January 7, 1983"
177,"Friday, January 14, 1983"
191,"Friday, January 21, 1983"
227,"Friday, January 28, 1983"
189,"Friday, February 4, 1983"
159,"Friday, February 11, 1983"
242,"Friday, February 18, 1983"
224,"Friday, February 25, 1983"
202,"Friday, March 4, 1983"
231,"Friday, March 11, 1983"
234,"Friday, March 18, 1983"
115,"Friday, March 25, 1983"
162,"Friday, April 1, 1983"
191,"Friday, April 8, 1983"
215,"Friday, April 15, 1983"
178,"Friday, April 22, 1983"
186,"Friday, April 29, 1983"
170,"Friday, May 6, 1983"
177,"Friday, May 13, 1983"
136,"Friday, May 20, 1983"
245,"Friday, May 27, 1983"
180,"Friday, June 3, 1983"
185,"Friday, June 10, 1983"
164,"Friday, June 17, 1983"
139,"Friday, June 24, 1983"
160,"Friday, July 1, 1983"
165,"Friday, July 8, 1983"
118,"Friday, July 15, 1983"
154,"Friday, July 22, 1983"
120,"Friday, July 29, 1983"
157,"Friday, August 5, 1983"
105,"Friday, August 12, 1983"
133,"Friday, August 19, 1983"
140,"Friday, August 26, 1983"
166,"Friday, September 2, 1983"
151,"Friday, September 9, 1983"
127,"Friday, September 16, 1983"
175,"Friday, September 23, 1983"
137,"Friday, September 30, 1983"
162,"Friday, October 7, 1983"
157,"Friday, October 14, 1983"
184,"Friday, October 21, 1983"
199,"Friday, October 28, 1983"
201,"Friday, November 4, 1983"
217,"Friday, November 11, 1983"
213,"Friday, November 18, 1983"
184,"Friday, November 25, 1983"
233,"Friday, December 2, 1983"
195,"Friday, December 9, 1983"
148,"Friday, December 16, 1983"
109,"Friday, December 23, 1983"
189,"Friday, December 30, 1983"
193,"Friday, January 6, 1984"
171,"Friday, January 13, 1984"
243,"Friday, January 20, 1984"
218,"Friday, January 27, 1984"
259,"Friday, February 3, 1984"
231,"Friday, February 10, 1984"
195,"Friday, February 17, 1984"
209,"Friday, February 24, 1984"
228,"Friday, March 2, 1984"
232,"Friday, March 9, 1984"
243,"Friday, March 16, 1984"
171,"Friday, March 23, 1984"
187,"Friday, March 30, 1984"
234,"Friday, April 6, 1984"
161,"Friday, April 13, 1984"
156,"Friday, April 20, 1984"
172,"Friday, April 27, 1984"
233,"Friday, May 4, 1984"
179,"Friday, May 11, 1984"
216,"Friday, May 18, 1984"
207,"Friday, May 25, 1984"
180,"Friday, June 1, 1984"
190,"Friday, June 8, 1984"
