LAG,N,ACOV,LACF,ACF,UACF,LPACF,PACF,UPACF,LIACF,IACF,UIACF,WNOISE,UNITROOT,SEASONUR,WN_LP,UR_LP,SUR_LP,ACF_PRB,PACF_PRB,IACF_PRB,ACF_LP,PACF_LP,IACF_LP
0,130,5716.3859177,0.000,1,0.000,,1,,,1,,,<.0001,,,.001,,<.0001,<.0001,<.0001,.001,.001,.001
1,129,658.70739808,-.175,.12,0.175,-.175,.12,0.175,-.175,-.2,0.175,,<.0001,,,.001,,0.1889,0.1889,0.0425,.189,.189,.042
2,128,-1064.702168,-.178,-.2,0.178,-.175,-.2,0.175,-.175,.17,0.175,,<.0001,,,.001,,0.0361,0.0211,0.0475,.036,.021,.048
3,127,334.98405043,-.184,.06,0.184,-.175,.11,0.175,-.175,-.1,0.175,0.0087,<.0001,,.009,.001,,0.5233,0.1944,0.4879,.523,.194,.488
4,126,382.01058347,-.184,.07,0.184,-.175,0,0.175,-.175,.01,0.175,0.0236,0.0001,,.024,.001,,0.4681,0.9645,0.8924,.468,.965,.892
5,125,-258.7412775,-.185,0,0.185,-.175,0,0.175,-.175,0,0.175,0.0510,0.0001,,.051,.001,,0.6245,0.7820,0.9845,.625,.782,.985
6,124,-590.7850309,-.185,-.1,0.185,-.175,-.1,0.175,-.175,.05,0.175,0.0552,,,.055,,,0.2646,0.3061,0.5506,.265,.306,.551
7,123,-213.9735575,-.187,0,0.187,-.175,0,0.175,-.175,.04,0.175,0.0926,,,.093,,,0.6890,0.7179,0.6772,.689,.718,.677
8,122,427.92421735,-.187,.07,0.187,-.175,.06,0.175,-.175,-.1,0.175,0.1152,,,.115,,,0.4241,0.5116,0.2828,.424,.512,.283
9,121,-269.045384,-.188,0,0.188,-.175,-.1,0.175,-.175,.09,0.175,0.1597,,,.16,,,0.6170,0.4342,0.3241,.617,.434,.324
10,120,-387.0162653,-.189,-.1,0.189,-.175,0,0.175,-.175,.01,0.175,0.1905,,,.191,,,0.4727,0.8638,0.9233,.473,.864,.923
11,119,31.198966792,-.189,.01,0.189,-.175,0,0.175,-.175,0,0.175,0.2618,,,.262,,,0.9540,0.8171,0.9656,.954,.817,.966
12,118,311.96171227,-.189,.05,0.189,-.175,.04,0.175,-.175,0,0.175,0.3099,,,.31,,,0.5643,0.6619,0.8358,.564,.662,.836
13,117,746.75487922,-.190,.13,0.190,-.175,.13,0.175,-.175,-.1,0.175,0.2252,,,.225,,,0.1687,0.1252,0.4457,.169,.125,.446
14,116,363.19823053,-.193,.06,0.193,-.175,.05,0.175,-.175,-.1,0.175,0.2560,,,.256,,,0.5093,0.5479,0.3109,.509,.548,.311
15,115,-548.8595009,-.193,-.1,0.193,-.175,-.1,0.175,-.175,.09,0.175,0.2430,,,.243,,,0.3202,0.3371,0.3265,.32,.337,.327
16,114,135.71104982,-.195,.02,0.195,-.175,.04,0.175,-.175,.01,0.175,0.3013,,,.301,,,0.8073,0.6800,0.8949,.807,.68,.895
17,113,275.11776209,-.195,.05,0.195,-.175,0,0.175,-.175,0,0.175,0.3464,,,.346,,,0.6211,0.9537,0.8100,.621,.954,.81
18,112,-872.8283957,-.195,-.2,0.195,-.175,-.1,0.175,-.175,.09,0.175,0.2147,,,.215,,,0.1175,0.1314,0.2851,.118,.131,.285
19,111,-464.399456,-.199,-.1,0.199,-.175,0,0.175,-.175,.03,0.175,0.2199,,,.22,,,0.4136,0.9184,0.7374,.414,.918,.737
20,110,215.5086464,-.200,.04,0.200,-.175,0,0.175,-.175,.02,0.175,0.2614,,,.261,,,0.7059,0.9826,0.8363,.706,.983,.836
21,109,-408.9990093,-.200,-.1,0.200,-.175,-.1,0.175,-.175,.04,0.175,0.2758,,,.276,,,0.4743,0.2371,0.6357,.474,.237,.636
22,108,-644.2537304,-.201,-.1,0.201,-.175,-.1,0.175,-.175,.09,0.175,0.2342,,,.234,,,0.2616,0.4659,0.3093,.262,.466,.309
23,107,186.92187041,-.203,.03,0.203,-.175,.06,0.175,-.175,-.1,0.175,0.2759,,,.276,,,0.7470,0.4904,0.4067,.747,.49,.407
24,106,160.28618735,-.203,.03,0.203,-.175,0,0.175,-.175,.05,0.175,0.3221,,,.322,,,0.7822,0.6157,0.5324,.782,.616,.532
25,105,-33.6198868,-.203,0,0.203,-.175,0,0.175,-.175,0,0.175,0.3769,,,.377,,,0.9538,0.9716,0.9063,.954,.972,.906
26,104,-245.9220152,-.203,0,0.203,-.175,0,0.175,-.175,.04,0.175,0.4167,,,.417,,,0.6717,0.5790,0.6306,.672,.579,.631
