LAG,N,ACOV,LACF,ACF,UACF,LPACF,PACF,UPACF,LIACF,IACF,UIACF,WNOISE,UNITROOT,SEASONUR,WN_LP,UR_LP,SUR_LP,ACF_PRB,PACF_PRB,IACF_PRB,ACF_LP,PACF_LP,IACF_LP
0,520,803.69954983,0.000,1,0.000,,1,,,1,,,<.0001,,,.001,,<.0001,<.0001,<.0001,.001,.001,.001
1,519,-9.505175431,-.088,0,0.088,-.088,0,0.088,-.088,0,0.088,,<.0001,,,.001,,0.7874,0.7874,0.8479,.787,.787,.848
2,518,43.306411932,-.088,.05,0.088,-.088,.05,0.088,-.088,0,0.088,,<.0001,,,.001,,0.2192,0.2203,0.3322,.219,.22,.332
3,517,24.846594215,-.088,.03,0.088,-.088,.03,0.088,-.088,0,0.088,0.1476,<.0001,,.148,.001,,0.4822,0.4621,0.5943,.482,.462,.594
4,516,-5.890378195,-.088,0,0.088,-.088,0,0.088,-.088,0,0.088,0.3456,<.0001,,.346,.001,,0.8678,0.8284,0.3567,.868,.828,.357
5,515,31.024883315,-.088,.04,0.088,-.088,.04,0.088,-.088,0,0.088,0.4057,<.0001,,.406,.001,,0.3806,0.4232,0.5005,.381,.423,.501
6,514,12.706272584,-.088,.02,0.088,-.088,.02,0.088,-.088,0,0.088,0.5508,,,.551,,,0.7199,0.7027,0.5657,.72,.703,.566
7,513,-76.52949858,-.088,-.1,0.088,-.088,-.1,0.088,-.088,.08,0.088,0.1653,,,.165,,,0.0309,0.0242,0.0611,.031,.024,.061
8,512,30.853657251,-.089,.04,0.089,-.088,.03,0.088,-.088,0,0.088,0.1960,,,.196,,,0.3883,0.4586,0.6182,.388,.459,.618
9,511,-42.66768576,-.089,-.1,0.089,-.088,0,0.088,-.088,.08,0.088,0.1820,,,.182,,,0.2335,0.3302,0.0814,.234,.33,.081
10,510,-82.58361454,-.089,-.1,0.089,-.088,-.1,0.088,-.088,.07,0.088,0.0463,,,.046,,,0.0215,0.0167,0.1219,.021,.017,.122
11,509,-2.035690974,-.090,0,0.090,-.088,0,0.088,-.088,0,0.088,0.0725,,,.072,,,0.9552,0.9303,0.8956,.955,.93,.896
12,508,24.025487972,-.090,.03,0.090,-.088,.05,0.088,-.088,-.1,0.088,0.0935,,,.094,,,0.5078,0.2271,0.1899,.508,.227,.19
13,507,51.15427921,-.090,.06,0.090,-.088,.07,0.088,-.088,-.1,0.088,0.0730,,,.073,,,0.1589,0.1031,0.0487,.159,.103,.049
14,506,46.404632263,-.091,.06,0.091,-.088,.05,0.088,-.088,0,0.088,0.0638,,,.064,,,0.2029,0.2594,0.6749,.203,.259,.675
