LAG,N,ACOV,LACF,ACF,UACF,LPACF,PACF,UPACF,LIACF,IACF,UIACF,WNOISE,UNITROOT,SEASONUR,WN_LP,UR_LP,SUR_LP,ACF_PRB,PACF_PRB,IACF_PRB,ACF_LP,PACF_LP,IACF_LP
0,130,5722.1601181,0.000,1,0.000,,1,,,1,,,<.0001,,,.001,,<.0001,<.0001,<.0001,.001,.001,.001
1,129,659.70515883,-.175,.12,0.175,-.175,.12,0.175,-.175,-.2,0.175,,<.0001,,,.001,,0.1887,0.1887,0.0427,.189,.189,.043
2,128,-1065.406423,-.178,-.2,0.178,-.175,-.2,0.175,-.175,.17,0.175,,<.0001,,,.001,,0.0362,0.0212,0.0475,.036,.021,.047
3,127,335.2276036,-.184,.06,0.184,-.175,.11,0.175,-.175,-.1,0.175,,<.0001,,,.001,,0.5234,0.1945,0.4888,.523,.194,.489
4,126,382.06986414,-.184,.07,0.184,-.175,0,0.175,-.175,.01,0.175,0.0062,0.0001,,.006,.001,,0.4685,0.9649,0.8911,.468,.965,.891
5,125,-259.7506658,-.185,0,0.185,-.175,0,0.175,-.175,0,0.175,0.0206,0.0001,,.021,.001,,0.6235,0.7807,0.9861,.624,.781,.986
6,124,-592.3649194,-.185,-.1,0.185,-.175,-.1,0.175,-.175,.05,0.175,0.0261,,,.026,,,0.2638,0.3053,0.5491,.264,.305,.549
7,123,-215.1745103,-.187,0,0.187,-.175,0,0.175,-.175,.04,0.175,0.0508,,,.051,,,0.6877,0.7165,0.6756,.688,.716,.676
8,122,427.13166697,-.187,.07,0.187,-.175,.06,0.175,-.175,-.1,0.175,0.0689,,,.069,,,0.4254,0.5131,0.2839,.425,.513,.284
9,121,-270.470622,-.188,0,0.188,-.175,-.1,0.175,-.175,.09,0.175,0.1033,,,.103,,,0.6155,0.4329,0.3228,.615,.433,.323
10,120,-388.1629391,-.189,-.1,0.189,-.175,0,0.175,-.175,.01,0.175,0.1298,,,.13,,,0.4719,0.8624,0.9213,.472,.862,.921
11,119,30.497791573,-.189,.01,0.189,-.175,0,0.175,-.175,0,0.175,0.1900,,,.19,,,0.9551,0.8157,0.9634,.955,.816,.963
12,118,311.90729818,-.189,.05,0.189,-.175,.04,0.175,-.175,0,0.175,0.2341,,,.234,,,0.5647,0.6626,0.8368,.565,.663,.837
13,117,747.61995268,-.190,.13,0.190,-.175,.13,0.175,-.175,-.1,0.175,0.1663,,,.166,,,0.1686,0.1253,0.4465,.169,.125,.447
14,116,363.8751812,-.193,.06,0.193,-.175,.05,0.175,-.175,-.1,0.175,0.1944,,,.194,,,0.5089,0.5479,0.3114,.509,.548,.311
15,115,-549.5347843,-.193,-.1,0.193,-.175,-.1,0.175,-.175,.09,0.175,0.1857,,,.186,,,0.3201,0.3365,0.3256,.32,.337,.326
16,114,135.1548506,-.195,.02,0.195,-.175,.04,0.175,-.175,.01,0.175,0.2382,,,.238,,,0.8083,0.6813,0.8931,.808,.681,.893
17,113,274.57364103,-.195,.05,0.195,-.175,0,0.175,-.175,0,0.175,0.2806,,,.281,,,0.6222,0.9522,0.8117,.622,.952,.812
18,112,-874.3608097,-.195,-.2,0.195,-.175,-.1,0.175,-.175,.09,0.175,0.1669,,,.167,,,0.1173,0.1310,0.2844,.117,.131,.284
19,111,-465.7400239,-.199,-.1,0.199,-.175,0,0.175,-.175,.03,0.175,0.1725,,,.173,,,0.4128,0.9174,0.7362,.413,.917,.736
20,110,214.59404185,-.200,.04,0.200,-.175,0,0.175,-.175,.02,0.175,0.2099,,,.21,,,0.7073,0.9813,0.8349,.707,.981,.835
21,109,-410.2930319,-.200,-.1,0.200,-.175,-.1,0.175,-.175,.04,0.175,0.2238,,,.224,,,0.4734,0.2365,0.6349,.473,.237,.635
22,108,-645.7517056,-.201,-.1,0.201,-.175,-.1,0.175,-.175,.09,0.175,0.1882,,,.188,,,0.2610,0.4648,0.3087,.261,.465,.309
23,107,186.47207323,-.203,.03,0.203,-.175,.06,0.175,-.175,-.1,0.175,0.2262,,,.226,,,0.7478,0.4912,0.4074,.748,.491,.407
24,106,160.02156761,-.203,.03,0.203,-.175,0,0.175,-.175,.05,0.175,0.2692,,,.269,,,0.7828,0.6148,0.5316,.783,.615,.532
25,105,-34.26323644,-.203,0,0.203,-.175,0,0.175,-.175,0,0.175,0.3209,,,.321,,,0.9530,0.9699,0.9074,.953,.97,.907
26,104,-246.3552309,-.203,0,0.203,-.175,0,0.175,-.175,.04,0.175,0.3597,,,.36,,,0.6715,0.5777,0.6295,.671,.578,.629
