LAG,N,ACOV,LACF,ACF,UACF,LPACF,PACF,UPACF,LIACF,IACF,UIACF,WNOISE,UNITROOT,SEASONUR,WN_LP,UR_LP,SUR_LP,ACF_PRB,PACF_PRB,IACF_PRB,ACF_LP,PACF_LP,IACF_LP
0,520,804.36649775,0.000,1,0.000,,1,,,1,,,<.0001,,,.001,,<.0001,<.0001,<.0001,.001,.001,.001
1,519,-9.439182996,-.088,0,0.088,-.088,0,0.088,-.088,.03,0.088,,<.0001,,,.001,,0.7890,0.7890,0.5164,.789,.789,.516
2,518,43.35765153,-.088,.05,0.088,-.088,.05,0.088,-.088,-.1,0.088,,<.0001,,,.001,,0.2191,0.2201,0.1935,.219,.22,.194
3,517,24.8360189,-.088,.03,0.088,-.088,.03,0.088,-.088,0,0.088,,<.0001,,,.001,,0.4827,0.4627,0.5465,.483,.463,.547
4,516,-5.939074471,-.088,0,0.088,-.088,0,0.088,-.088,0,0.088,0.1450,<.0001,,.145,.001,,0.8668,0.8273,0.3901,.867,.827,.39
5,515,30.967844757,-.088,.04,0.088,-.088,.04,0.088,-.088,-.1,0.088,0.2340,<.0001,,.234,.001,,0.3819,0.4245,0.0843,.382,.424,.084
6,514,12.633470025,-.088,.02,0.088,-.088,.02,0.088,-.088,0,0.088,0.3862,,,.386,,,0.7217,0.7045,0.5898,.722,.704,.59
7,513,-76.67520319,-.088,-.1,0.088,-.088,-.1,0.088,-.088,.09,0.088,0.0975,,,.097,,,0.0307,0.0241,0.0439,.031,.024,.044
8,512,30.784450855,-.089,.04,0.089,-.088,.03,0.088,-.088,0,0.088,0.1252,,,.125,,,0.3898,0.4598,0.6160,.39,.46,.616
9,511,-42.78812528,-.089,-.1,0.089,-.088,0,0.088,-.088,.08,0.088,0.1196,,,.12,,,0.2326,0.3292,0.0820,.233,.329,.082
10,510,-82.75404926,-.089,-.1,0.089,-.088,-.1,0.088,-.088,.11,0.088,0.0274,,,.027,,,0.0213,0.0166,0.0098,.021,.017,.010
11,509,-2.162797354,-.090,0,0.090,-.088,0,0.088,-.088,.01,0.088,0.0459,,,.046,,,0.9525,0.9280,0.8649,.952,.928,.865
12,508,23.937618887,-.090,.03,0.090,-.088,.05,0.088,-.088,0,0.088,0.0622,,,.062,,,0.5097,0.2282,0.3914,.51,.228,.391
13,507,51.054190219,-.090,.06,0.090,-.088,.07,0.088,-.088,-.1,0.088,0.0487,,,.049,,,0.1600,0.1040,0.0331,.16,.104,.033
14,506,46.296690752,-.091,.06,0.091,-.088,.05,0.088,-.088,-.1,0.088,0.0431,,,.043,,,0.2044,0.2614,0.1689,.204,.261,.169
15,505,9.4287824572,-.091,.01,0.091,-.088,.02,0.088,-.088,0,0.088,0.0627,,,.063,,,0.7966,0.6211,0.6928,.797,.621,.693
16,504,-17.04896816,-.091,0,0.091,-.088,0,0.088,-.088,.03,0.088,0.0838,,,.084,,,0.6413,0.3828,0.5656,.641,.383,.566
17,503,7.3148639268,-.091,.01,0.091,-.088,0,0.088,-.088,.02,0.088,0.1144,,,.114,,,0.8416,0.7000,0.7074,.842,.7,.707
18,502,-11.67430077,-.091,0,0.091,-.088,0,0.088,-.088,.03,0.088,0.1487,,,.149,,,0.7498,0.7208,0.5233,.75,.721,.523
19,501,-36.74291506,-.091,0,0.091,-.088,-.1,0.088,-.088,.05,0.088,0.1507,,,.151,,,0.3157,0.1998,0.2271,.316,.2,.227
20,500,49.169431396,-.091,.06,0.091,-.088,.06,0.088,-.088,-.1,0.088,0.1250,,,.125,,,0.1802,0.1830,0.2419,.18,.183,.242
21,499,-13.69846059,-.092,0,0.092,-.088,0,0.088,-.088,0,0.088,0.1564,,,.156,,,0.7098,0.9540,0.9643,.71,.954,.964
22,498,0.8667144192,-.092,0,0.092,-.088,.01,0.088,-.088,0,0.088,0.1977,,,.198,,,0.9812,0.7597,0.7468,.981,.76,.747
23,497,22.433920375,-.092,.03,0.092,-.088,.04,0.088,-.088,0,0.088,0.2260,,,.226,,,0.5424,0.3186,0.3454,.542,.319,.345
