LAG,N,ACOV,LACF,ACF,UACF,LPACF,PACF,UPACF,LIACF,IACF,UIACF,WNOISE,UNITROOT,SEASONUR,WN_LP,UR_LP,SUR_LP,ACF_PRB,PACF_PRB,IACF_PRB,ACF_LP,PACF_LP,IACF_LP
0,130,5545.4575148,0.000,1,0.000,,1,,,1,,,<.0001,,,.001,,<.0001,<.0001,<.0001,.001,.001,.001
1,129,522.4959184,-.175,.09,0.175,-.175,.09,0.175,-.175,-.1,0.175,,<.0001,,,.001,,0.2827,0.2827,0.1700,.283,.283,.17
2,128,-520.561456,-.177,-.1,0.177,-.175,-.1,0.175,-.175,.07,0.175,,<.0001,,,.001,,0.2887,0.2372,0.3989,.289,.237,.399
3,127,766.59522794,-.178,.14,0.178,-.175,.16,0.175,-.175,-.1,0.175,,<.0001,,,.001,,0.1214,0.0666,0.2479,.121,.067,.248
4,126,-177.170517,-.182,0,0.182,-.175,-.1,0.175,-.175,.07,0.175,0.0242,<.0001,,.024,.001,,0.7252,0.3700,0.4347,.725,.37,.435
5,125,-847.8294443,-.182,-.2,0.182,-.175,-.1,0.175,-.175,.07,0.175,0.0158,<.0001,,.016,.001,,0.0928,0.1975,0.4290,.093,.198,.429
6,124,-321.1151587,-.186,-.1,0.186,-.175,-.1,0.175,-.175,.04,0.175,0.0327,,,.033,,,0.5332,0.4709,0.6153,.533,.471,.615
7,123,54.111535604,-.186,.01,0.186,-.175,.01,0.175,-.175,0,0.175,0.0671,,,.067,,,0.9166,0.9013,0.9879,.917,.901,.988
8,122,54.583763419,-.186,.01,0.186,-.175,.03,0.175,-.175,-.1,0.175,0.1180,,,.118,,,0.9159,0.6911,0.3690,.916,.691,.369
9,121,-516.1177377,-.186,-.1,0.186,-.175,-.1,0.175,-.175,.09,0.175,0.1242,,,.124,,,0.3180,0.2617,0.3150,.318,.262,.315
10,120,-2.662912309,-.188,0,0.188,-.175,0,0.175,-.175,.02,0.175,0.1879,,,.188,,,0.9959,0.9942,0.7934,.996,.994,.793
11,119,321.78983707,-.188,.06,0.188,-.175,.02,0.175,-.175,0,0.175,0.2318,,,.232,,,0.5367,0.8274,0.8104,.537,.827,.81
12,118,64.609942014,-.188,.01,0.188,-.175,.03,0.175,-.175,0,0.175,0.3103,,,.31,,,0.9016,0.6962,0.9118,.902,.696,.912
13,117,712.85408706,-.188,.13,0.188,-.175,.14,0.175,-.175,-.1,0.175,0.2270,,,.227,,,0.1724,0.1100,0.4889,.172,.11,.489
14,116,573.72227754,-.191,0.1,0.191,-.175,.05,0.175,-.175,-.1,0.175,0.2053,,,.205,,,0.2789,0.5915,0.4419,.279,.592,.442
15,115,-516.9151701,-.193,-.1,0.193,-.175,-.1,0.175,-.175,.06,0.175,0.1996,,,.2,,,0.3336,0.2304,0.4590,.334,.23,.459
16,114,46.617949745,-.194,.01,0.194,-.175,.02,0.175,-.175,.01,0.175,0.2584,,,.258,,,0.9310,0.8276,0.8916,.931,.828,.892
17,113,73.278861897,-.194,.01,0.194,-.175,0,0.175,-.175,.02,0.175,0.3221,,,.322,,,0.8918,0.9672,0.8188,.892,.967,.819
18,112,-1195.708677,-.194,-.2,0.194,-.175,-.2,0.175,-.175,.12,0.175,0.0845,,,.085,,,0.0264,0.0589,0.1889,.026,.059,.189
19,111,-466.5798762,-.201,-.1,0.201,-.175,0,0.175,-.175,.02,0.175,0.0879,,,.088,,,0.4036,0.7265,0.8183,.404,.726,.818
20,110,482.8379999,-.203,.09,0.203,-.175,.06,0.175,-.175,0,0.175,0.0891,,,.089,,,0.3899,0.5141,0.8035,.39,.514,.803
21,109,-457.1899435,-.204,-.1,0.204,-.175,-.1,0.175,-.175,.03,0.175,0.0925,,,.092,,,0.4182,0.3888,0.6918,.418,.389,.692
22,108,-776.384578,-.205,-.1,0.205,-.175,-.1,0.175,-.175,.12,0.175,0.0593,,,.059,,,0.1714,0.2292,0.1767,.171,.229,.177
23,107,421.95641643,-.208,.08,0.208,-.175,.05,0.175,-.175,-.1,0.175,0.0641,,,.064,,,0.4636,0.5713,0.4437,.464,.571,.444
24,106,142.70463993,-.208,.03,0.208,-.175,0,0.175,-.175,.05,0.175,0.0828,,,.083,,,0.8050,0.6194,0.5848,.805,.619,.585
25,105,-224.0074272,-.209,0,0.209,-.175,0,0.175,-.175,0,0.175,0.1015,,,.101,,,0.6985,0.9737,0.9039,.699,.974,.904
26,104,-178.2509139,-.209,0,0.209,-.175,-.1,0.175,-.175,.06,0.175,0.1249,,,.125,,,0.7582,0.4604,0.5179,.758,.46,.518
